username,date,tweet,fullname
@Christi78454403,2025-03-28 23:43,"Satu fungsi saja tidak ada kerja, Apalagi dwifungsi,hanya bikin habis anggaran,kirim semua pasukan terbaik TNI untuk berantas itu KKB,daripada kau duduk omon² saja",Christiaπ jack π
@WhoIshartadi,2025-03-28 23:42,Hi @grok TNI seharusnya berfungsi bagaimana? Apa malah tidak berfungsi?,Whoishartadi
@hallo897,2025-03-28 23:42,LOL intinya klo saya lihat emang kaum kalian ngak paham dan argumentasinya ngak kuat makanya muter muter disitu saja dan bawa bawa nama rakyat. ciri ciri kaum manupulatif dan tukang provokasi. Dirubah untuk jadi lebih baik dan mempertegas batasan untuk TNI. makanya baca itu RUU.,yj9978
@romoatheist,2025-03-28 23:41,"Hello @grok 

Simak pernyataan @tempodotco dalam podcast @akbarfaizal68
yg memberikan tuduhan pd media lain yg didanai Asing dgn bungkusan Investasi.

Tentu sangat mungkin mrk jalankan agenda Investor u menciptakan pemberontakan di Indonesia a/n HAM versi negara pelaku Genosida",atheistan
@cindy_wnrsh,2025-03-28 23:41,"RUU TNI kayak petunjuk jalan, supaya kerja TNI nggak salah arah dan tetap profesional.",Cindy Winarsih
@1305Pastel67686,2025-03-28 23:41,Justru RUU TNI pengalihan isu RK,Kaburasetan
@AbrarFisetya,2025-03-28 23:41,"ternyata doi kader pks (pendukung ruu tni) selamat buat penikmat Starbucks anda berada dibarisan musuh pendukung ruu tni
jogjapos.id/nasional/1074397…",antrianrakyat
@ovr_sleepers,2025-03-28 23:41,"ini contoh ya amit amit, pemerintah punya agenda UU dengan dalih ""bantuan pengawasan"" TNI bisa dong dikerahin masuk dpr ? bebas tuh. tadi anda ngasih contoh korea, itu impeachment president vote masih gagal tapi martial law serentak semua menolak, coba pikir kenapa",Rant Account
@Gold_Rey17,2025-03-28 23:41,TNI PERTAHAN NEGARA KOCAK NGAPAIN KE DALEM. POLISI PERTAHAN KE 2 DI DALEM. PRESIDEN 5 tahun doang bukan berkuasa inget lah permainan kalian allah.swt akan murka dan negara lain ga akan takut Ama kita,Ryan Rei
@kodim_ponorogo,2025-03-28 23:41,"Dandim 0802/Ponorogo Letkol Inf Dwi Soerjono dan Kapolres Ponorogo memimpin Patroli Gabungan TNI – Polri sekaligus meninjau dan mengecek Pos – Pos Pelayanan  Pengamanan Perayaan Idul Fitri 1446 H / 2025 M yang tersebar di wilayah Kabupaten Ponorogo, Sabtu (29/03/2025).",Kodim Ponorogo
@saifumam,2025-03-28 23:41,"Gila ya… Demo di banyak kota, memprotes UU TNI yg baru, gak masuk berita koran/majalah mainstream, baik cetak maupun elektronik. Sudah bisa ditebak apa yg terjadi dg mereka…",S. Umam
@yosua_purba,2025-03-28 23:41,PELAKU HOMOSEKSUAL DI MILITER WAJIB DIPECAT DARI MILITER. @prabowo @ganjarpranowo @Gerindra @Puspen_TNI @riekediahp @GunRomli @puanmaharani_ri @PDI_Perjuangan @mohmahfudmd,Yosua Purba
@lovlof999,2025-03-28 23:40,Padahal kan di papua juga ada guru sipil tapi pada mati kmaren ada tu britanya brarti apaa?!? TNI gabisa jadi pengaman buat warga sipil disana! Gada jaminan ada tni = keamanan sipil terjamin 🫥,Louvery
